709	('120.220155', '120.219493', '23.017915', '23.017346')
710	('120.219949', '120.219493', '23.017852', '23.017515')
711	('120.220155', '120.219493', '23.017915', '23.017396')
712	('120.195733', '120.194992', '22.994602', '22.993999')
713	('120.194887', '120.194320', '22.978983', '22.978399')
714	('120.228277', '120.227585', '23.014984', '23.014645')
715	('120.191845', '120.191108', '23.008382', '23.007600')
716	('120.204975', '120.204180', '23.001757', '23.001007')
717	('120.228061', '120.227325', '23.015010', '23.014742')
718	('120.220011', '120.219457', '23.017825', '23.017167')
719	('120.220409', '120.219685', '23.018450', '23.017722')
720	('120.220231', '120.219725', '23.018139', '23.017722')
721	('120.220155', '120.219725', '23.017915', '23.017478')
722	('120.220233', '120.219685', '23.018450', '23.017764')
723	('120.220155', '120.219725', '23.017915', '23.017490')
725	('120.191803', '120.191108', '23.008786', '23.008035')
731	('120.191803', '120.191108', '23.008543', '23.008035')
733	('120.191803', '120.191108', '23.008543', '23.008035')
734	('120.220367', '120.219675', '23.017722', '23.016897')
735	('120.220367', '120.219675', '23.017755', '23.016897')
736	('120.220367', '120.219675', '23.017764', '23.016897')
737	('120.220367', '120.219675', '23.017599', '23.016897')
738	('120.220367', '120.219675', '23.017755', '23.016897')
741	('120.191803', '120.191309', '23.008786', '23.008108')
742	('120.205134', '120.204455', '23.001303', '23.000561')
743	('120.220371', '120.219858', '23.018450', '23.017907')
745	('120.220367', '120.219830', '23.017755', '23.017162')
747	('120.220367', '120.219830', '23.017764', '23.017162')
748	('120.220367', '120.219830', '23.017907', '23.017162')
749	('120.193806', '120.192967', '22.995023', '22.994827')
751	('120.192067', '120.191395', '23.007569', '23.006887')
752	('120.220155', '120.219675', '23.017776', '23.017167')
753	('120.220409', '120.219858', '23.018377', '23.017722')
754	('120.220233', '120.219858', '23.018450', '23.017722')
755	('120.220409', '120.219858', '23.018523', '23.017722')
756	('120.220052', '120.219493', '23.017915', '23.017490')
757	('120.205134', '120.204380', '23.001007', '23.000317')
759	('120.191845', '120.191309', '23.008543', '23.007815')
760	('120.191845', '120.191318', '23.008660', '23.007871')
764	('120.192065', '120.191222', '23.007871', '23.007103')
765	('120.191622', '120.191001', '23.007631', '23.006887')
766	('120.191622', '120.191001', '23.007363', '23.006887')
767	('120.196712', '120.195972', '22.978306', '22.977705')
768	('120.196119', '120.195865', '22.978460', '22.978111')
769	('120.196423', '120.195836', '22.978714', '22.978111')
770	('120.196797', '120.195972', '22.978306', '22.977705')
771	('120.196423', '120.195836', '22.978646', '22.978059')
772	('120.196381', '120.195836', '22.978770', '22.978111')
773	('120.196142', '120.195836', '22.978591', '22.978111')
781	('120.191523', '120.190918', '23.008341', '23.007600')
785	('120.218169', '120.217468', '23.004442', '23.003691')
786	('120.220052', '120.219685', '23.018139', '23.017515')
787	('120.196320', '120.195865', '22.978352', '22.977506')
788	('120.196320', '120.195972', '22.978333', '22.977506')
789	('120.196320', '120.195865', '22.978386', '22.977506')
790	('120.196320', '120.195865', '22.978352', '22.977506')
791	('120.196797', '120.196046', '22.978059', '22.977308')
792	('120.196381', '120.195972', '22.978306', '22.977506')
793	('120.196320', '120.195972', '22.978333', '22.977506')
794	('120.197168', '120.196423', '22.978951', '22.978474')
795	('120.197168', '120.196341', '22.978915', '22.978223')
796	('120.197168', '120.196590', '22.978818', '22.978474')
797	('120.197168', '120.196679', '22.978818', '22.978474')
798	('120.197168', '120.196423', '22.978793', '22.978223')
799	('120.197168', '120.196381', '22.978683', '22.978223')
800	('120.219804', '120.219235', '23.004336', '23.003665')
802	('120.196590', '120.195836', '22.978915', '22.978263')
803	('120.196320', '120.195865', '22.978460', '22.978059')
804	('120.196341', '120.195836', '22.978770', '22.978263')
805	('120.196642', '120.195865', '22.978646', '22.978059')
806	('120.196590', '120.195836', '22.978913', '22.978208')
807	('120.196320', '120.195865', '22.978352', '22.977705')
808	('120.196423', '120.195836', '22.978770', '22.978208')
809	('120.196215', '120.195836', '22.978770', '22.978333')
810	('120.196381', '120.195865', '22.978460', '22.978111')
811	('120.196142', '120.195836', '22.978591', '22.978333')
812	('120.196821', '120.195981', '22.978915', '22.978059')
813	('120.196898', '120.196507', '22.978915', '22.978626')
814	('120.196909', '120.196423', '22.978915', '22.978474')
815	('120.196909', '120.196341', '22.978915', '22.978223')
816	('120.196902', '120.196423', '22.978915', '22.978474')
817	('120.196590', '120.196067', '22.978915', '22.978306')
818	('120.196590', '120.195981', '22.978915', '22.978306')
819	('120.196590', '120.195836', '22.978915', '22.978263')
820	('120.196590', '120.195981', '22.978915', '22.978306')
821	('120.196590', '120.195836', '22.978915', '22.978306')
822	('120.196902', '120.196507', '22.978915', '22.978570')
823	('120.197319', '120.196507', '22.979143', '22.978570')
824	('120.196590', '120.195836', '22.978915', '22.978208')
825	('120.196735', '120.196142', '22.978915', '22.978306')
826	('120.196590', '120.196067', '22.978915', '22.978306')
827	('120.235725', '120.235051', '23.010914', '23.010270')
